Índice de Precios de Consumo (IPC)
Indice de Precios de Consumo. Ponderaciones
Comunidades Autónomas por grupos especiales
Unidades: ?

,2006,2005,2004,2003,2002,
    Alimentos sin elaboración y productos energéticos,170,549,170,668,170,668,.,.,
    Bienes industriales sin productos energéticos,305,597,310,545,310,545,.,.,
Extremadura,
    Alimentos con elaboración, bebidas y tabaco,203,229,204,784,204,784,.,.,
    Alimentos sin elaboración,89,821,92,044,92,044,.,.,
    Bienes industriales,411,182,414,437,414,437,.,.,
    Servicios sin alquiler de  vivienda,283,968,277,129,277,129,.,.,
    Carburantes y combustibles,63,790,61,115,61,115,.,.,
    Bienes industriales duraderos,121,756,119,807,119,807,.,.,
    Productos energeticos,91,068,88,886,88,886,.,.,
    General sin alimentos, bebidas y tabaco,706,950,703,171,703,171,.,.,
    General sin alquiler de vivienda,988,201,988,395,988,395,.,.,
    General sin carburantes ni combustibles,936,210,938,885,938,885,.,.,
    General sin productos energeticos,908,932,911,114,911,114,.,.,
    General sin alimentos no elaborados ni productos energeticos,819,111,819,069,819,069,.,.,
    General sin servicios (incluye alquiler de vivienda),716,032,722,871,722,871,.,.,
    General sin servicios ni alquiler de vivienda,704,233,711,266,711,266,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,695,151,691,566,691,566,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,643,159,642,056,642,056,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,615,881,614,285,614,285,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),422,981,426,042,426,042,.,.,
    General sin alimentos,bebidas,tabaco,servicios ni alquiler de vivienda,411,182,414,437,414,437,.,.,
    Bienes industriales no duraderos,289,426,294,630,294,630,.,.,
    General sin tabaco,973,771,972,985,972,985,.,.,
    Alimentos y bebidas,266,822,269,814,269,814,.,.,
    Alimentos elaborados,155,721,155,878,155,878,.,.,
    Bienes industriales sin energia,383,904,386,666,386,666,.,.,
    Servicios (con alquiler de vivienda),295,767,288,734,288,734,.,.,
    Alimentos, bebida y tabaco,293,050,296,829,296,829,.,.,
    Alimentos sin elaboración y productos energéticos,180,889,180,931,180,931,.,.,
    Bienes industriales sin productos energéticos,320,114,325,551,325,551,.,.,
Galicia,
    Alimentos con elaboración, bebidas y tabaco,177,422,178,847,178,847,.,.,
    Alimentos sin elaboración,92,898,95,202,95,202,.,.,
    Bienes industriales,411,698,414,988,414,988,.,.,
    Servicios sin alquiler de  vivienda,299,051,292,326,292,326,.,.,
    Carburantes y combustibles,72,176,68,959,68,959,.,.,
    Bienes industriales duraderos,120,997,119,677,119,677,.,.,
    Productos energeticos,94,198,91,399,91,399,.,.,
    General sin alimentos, bebidas y tabaco,729,680,725,951,725,951,.,.,
    General sin alquiler de vivienda,981,069,981,363,981,363,.,.,
    General sin carburantes ni combustibles,927,824,931,041,931,041,.,.,
    General sin productos energeticos,905,802,908,601,908,601,.,.,
    General sin alimentos no elaborados ni productos energeticos,812,904,813,399,813,399,.,.,
    General sin servicios (incluye alquiler de vivienda),700,949,707,674,707,674,.,.,
    General sin servicios ni alquiler de vivienda,682,018,689,037,689,037,.,.,
    General sin alimentos,bebidas,tabaco ni alquiler de vivienda,710,749,707,314,707,314,.,.,
    General sin alimentos,bebidas,tabaco,carburante ni combustible,657,503,656,992,656,992,.,.,
    General sin alimentos,bebidas,tabaco ni productos energéticos,635,482,634,552,634,552,.,.,
    General sin alimentos,bebidas,tabaco ni servicios (Inc.alquier de viv.),430,629,433,625,433,625,.,.,
